question,prompt,answer
Will the client send a formal complaint to info@flix.com?,"Will the client send a formal complaint to info@flix.com?: Simon: <file_photo>
Simon: It's funny and scary at the same time.
Simon: BTW it's so annoying that people can't see that such immigration policy reduces safety level for citizens of EU significantly
Charlie: This photo is great. It totally shows what do we all mean when we criticize EU policy. 
Charlie: Berlin has put concrete blocks around Christmas fair, Belgium has soldiers running armed around cities and Paris has mass demonstrations and car arsons happening all over the city.
Charlie: Poland though...
Charlie: One of the last countries unspoilt by uncontrolled migration and terrorism
Charlie: The question is - for how long...
Simon: I always say that there is advantage of the polish situation
Simon: I mean being economically delayed for few decades
Simon: Poland has a chance to develop in fast pace and at the same time has a position to avoid all the mistakes other western powers made.
Simon: The worst thing is that the country is being ostracized by defending it's values and interests. 
Charlie: Yup. And as long as there are people in Poland ready to defend that values, the country will be marginalized by every other nation.
Simon: I admire Poles.
Simon: I admire them for they will to fight.
Simon: They never give up.
Charlie: Different countries tried to eliminate them from the map.
Simon: I tell you, there will be time, when only Poland will have power to fight with internal problems of Europe.
Charlie: Maybe. But there is a risk that internal conflict will rip the country apart.
Simon: Let's hope not.
Charlie: Yup. To conclude: Christmas in Poland will be the best Christmas in Europe :D
Simon: I agree :)",I cannot be sure given this transcript
Who is going hiking tomorrow?,"Who is going hiking tomorrow?: Jeff: Are you ready for the hiking tomorrow?
Ann: I've just packed
Corina: is it going to be very difficult
Jeff: this track is quite heavy
Jeff: so please, take good shoes
Maria: sure, how long is the track?
Jeff: about 20km
Jeff: let me check it
Maria: thanks
Jeff: 21,3 km
Maria: but it's only to the lighthouse?
Jeff: yes
Maria: so we have to take a bus back
Jeff: I think so, to walk back would be too tiring
Corina: and too boring
Corina: doing the same way again
Jeff: true
Jeff: so I'll check the busses
Ann: great
Jeff: yes, there is one at 5PM
Maria: just perfect!
Jeff: :)","Jeff, Ann, Corina and Maria are going hiking tomorrow"
Who is going hiking tomorrow?,"Who is going hiking tomorrow?: Henry: Do you know what happened to cafe Kohaku?
Julia: The one near Covent Garden?
Henry: Yeah. I wanted to reserve a table, but I can't find them anywhere. Their Facebook page disappeared.
Julia: I'm afraid they're closed :(
Henry: For good?!
Julia: Afraid so. I've been there last week and wanted to take my cousin there, but the place's empty
Julia: Probably the rent was too high.
Henry: Oh no, I loved that place
Julia: Me too. I checked online for the owners and contacted them, but they haven't replied yet. I hope they will reopen somewhere else
Henry: Unless they do it far away, the location was perfect. It was a real gem in this touristy district
Julia: I know, I know... We went the Lilly's in the end, my cousin and I, but it's not the same
Henry: Eh, that's a pity then, I was so looking forward to their brownie
Henry: How was the Lilly's?
Julia: It's all right, it's a different vibe though. I think you should go to the Japan Centre for the same
Henry: Uhm, don't think so. It's always awfully crowded and there are more tourists than normal people like us",I cannot be sure given this transcript
What time will they take a bus back to the lighthouse?,"What time will they take a bus back to the lighthouse?: Jeff: Are you ready for the hiking tomorrow?
Ann: I've just packed
Corina: is it going to be very difficult
Jeff: this track is quite heavy
Jeff: so please, take good shoes
Maria: sure, how long is the track?
Jeff: about 20km
Jeff: let me check it
Maria: thanks
Jeff: 21,3 km
Maria: but it's only to the lighthouse?
Jeff: yes
Maria: so we have to take a bus back
Jeff: I think so, to walk back would be too tiring
Corina: and too boring
Corina: doing the same way again
Jeff: true
Jeff: so I'll check the busses
Ann: great
Jeff: yes, there is one at 5PM
Maria: just perfect!
Jeff: :)",They will take a bus back to the lighthouse at 5 pm.
What time will they take a bus back to the lighthouse?,"What time will they take a bus back to the lighthouse?: Henry: Do you know what happened to cafe Kohaku?
Julia: The one near Covent Garden?
Henry: Yeah. I wanted to reserve a table, but I can't find them anywhere. Their Facebook page disappeared.
Julia: I'm afraid they're closed :(
Henry: For good?!
Julia: Afraid so. I've been there last week and wanted to take my cousin there, but the place's empty
Julia: Probably the rent was too high.
Henry: Oh no, I loved that place
Julia: Me too. I checked online for the owners and contacted them, but they haven't replied yet. I hope they will reopen somewhere else
Henry: Unless they do it far away, the location was perfect. It was a real gem in this touristy district
Julia: I know, I know... We went the Lilly's in the end, my cousin and I, but it's not the same
Henry: Eh, that's a pity then, I was so looking forward to their brownie
Henry: How was the Lilly's?
Julia: It's all right, it's a different vibe though. I think you should go to the Japan Centre for the same
Henry: Uhm, don't think so. It's always awfully crowded and there are more tourists than normal people like us",I cannot be sure given this transcript
Why is Joyce running late today?,"Why is Joyce running late today?: Joyce: Guys, sorry I'm running late today! Will be there soon
Andrew: I’m a wee bit late too but will be there before 8! Leaving soon
Carla: On my way, with sipke😀
Anette: On the way kids
Anette: In the first here wtf
Helen: Where are yall
Helen: Annette are you here?
Helen: I'm at a table by one of the windows at the front!",Joyce is running late today
Why is Joyce running late today?,"Why is Joyce running late today?: Marleen: Hello my dear, I'll be leaving in half an hour to go to town. If you have any idea for a present for Rita let me know.
Marleen: Text me here with your ideas for a present for her.
Barry: But I've got none! I leave the choice entirely to you.
Barry: I'm at home now.
Marleen: Am at Kaiser's. Lovely silk kerchiefs.  What do you think?
Barry: One can't have too many!
Marleen: But isn't it a bit too personal?
Barry: Not at all.
Marleen: <file_photo>
Marleen: Which?
Barry: The one with yellow pattern, definitely. She loves yellow.
Marleen: The most expensive of the five.
Barry: How much?
Marleen: 39
Barry: Oh come on. Not so bad.
Marleen: Shall we go 50/50?
Barry: OK",I cannot be sure given this transcript
Will Andrew and Carla be there before 8?,"Will Andrew and Carla be there before 8?: Joyce: Guys, sorry I'm running late today! Will be there soon
Andrew: I’m a wee bit late too but will be there before 8! Leaving soon
Carla: On my way, with sipke😀
Anette: On the way kids
Anette: In the first here wtf
Helen: Where are yall
Helen: Annette are you here?
Helen: I'm at a table by one of the windows at the front!",Andrew and Carla will be there before 8
Will Andrew and Carla be there before 8?,"Will Andrew and Carla be there before 8?: Marleen: Hello my dear, I'll be leaving in half an hour to go to town. If you have any idea for a present for Rita let me know.
Marleen: Text me here with your ideas for a present for her.
Barry: But I've got none! I leave the choice entirely to you.
Barry: I'm at home now.
Marleen: Am at Kaiser's. Lovely silk kerchiefs.  What do you think?
Barry: One can't have too many!
Marleen: But isn't it a bit too personal?
Barry: Not at all.
Marleen: <file_photo>
Marleen: Which?
Barry: The one with yellow pattern, definitely. She loves yellow.
Marleen: The most expensive of the five.
Barry: How much?
Marleen: 39
Barry: Oh come on. Not so bad.
Marleen: Shall we go 50/50?
Barry: OK",I cannot be sure given this transcript
Who is Carla bringing with her?,"Who is Carla bringing with her?: Joyce: Guys, sorry I'm running late today! Will be there soon
Andrew: I’m a wee bit late too but will be there before 8! Leaving soon
Carla: On my way, with sipke😀
Anette: On the way kids
Anette: In the first here wtf
Helen: Where are yall
Helen: Annette are you here?
Helen: I'm at a table by one of the windows at the front!",Carla is on her way with sipke
Who is Carla bringing with her?,"Who is Carla bringing with her?: Marleen: Hello my dear, I'll be leaving in half an hour to go to town. If you have any idea for a present for Rita let me know.
Marleen: Text me here with your ideas for a present for her.
Barry: But I've got none! I leave the choice entirely to you.
Barry: I'm at home now.
Marleen: Am at Kaiser's. Lovely silk kerchiefs.  What do you think?
Barry: One can't have too many!
Marleen: But isn't it a bit too personal?
Barry: Not at all.
Marleen: <file_photo>
Marleen: Which?
Barry: The one with yellow pattern, definitely. She loves yellow.
Marleen: The most expensive of the five.
Barry: How much?
Marleen: 39
Barry: Oh come on. Not so bad.
Marleen: Shall we go 50/50?
Barry: OK",I cannot be sure given this transcript
"Has Mia subscribed to Aiden's channel, Tuberflicks?","Has Mia subscribed to Aiden's channel, Tuberflicks?: Aiden: Have you subscribed my channel?
Mia: Nop I havent 
Aiden: :/
Mia: Whats the name?
Aiden: Tuberflicks
Mia: Send me the link
Aiden: wait
Mia: k
Aiden: <file_link> Here you go
Mia: It has pretty much grown now
Aiden: Yeah it is
Mia: Since when have you been working on it?
Aiden: Its been 6 month now
Mia: wow","Mia hasn't subscribed to Aiden's channel, Tuberflicks"
"Has Mia subscribed to Aiden's channel, Tuberflicks?","Has Mia subscribed to Aiden's channel, Tuberflicks?: Anne: I hate that bitch!
Catherine: What did she do again???
Nora: Who's the bitch?
Nora: Sorry I missed something
Catherine: Miranda!!! 
Catherine: We all hate her
Anne: Yesterday she called Tom, was all sweet with him you know how she can be....
Catherine: No way she did it!! How dare she!! She knows you guys are dating.
Anne: I think that's why she did it. She wants to take Tom away from me.
Nora: Oh, come on! She's not his type!",I cannot be sure given this transcript
